Año,Lote,Tipo de Hidrocarburo,Producción,Inversion,Regalia,Canon,Reservas Probadas (P1),Reservas Probables (P2),Reservas Posibles (P3),Reservas Totales (3P),Recursos Contingentes (2C),Recursos Prospectivos (2U)
2024,Z-64,,,0.0,,,,,,,,
2025,Z-64,,,0.0,,,,,,,,
2021,Z-67,,,0.4660326100000001,,,,,,,,
2022,Z-67,,,0.0,,,,,,,,
2023,Z-67,,,0.0,,,,,,,,
2024,Z-67,,,0.0,,,,,,,,
2025,Z-67,,,0.0,,,,,,,,
2021,Z-68,,,0.4556332700000001,,,,,,,,
2022,Z-68,,,0.0,,,,,,,,
2023,Z-68,,,0.0,,,,,,,,
2024,Z-68,,,0.0,,,,,,,,
2025,Z-68,,,0.0,,,,,,,,
2021,Z-69,,,7.462668970000001,,36.58468801999998,,,,,,
2022,Z-69,,,15.67967701,,46.80988041999988,,,,,,
2023,Z-69,,,0.007312,,35.15201464,,,,,,
2024,Z-69,,,0.0,,29.42261547999998,,,,,,
2025,Z-69,,,0.0,,7.259103969999989,,,,,,
2023,I,Petróleo,,,,,4668.7,186.5,64.6,4919.8,1153.3,19057.5
2023,II,Petróleo,,,,,3233.6,0,0,3233.6,6863.2,0
2023,III,Petróleo,,,,,13668.3,8979,6992.3,29639.6,833,24894.8
2023,IV,Petróleo,,,,,16127.400000000001,5888.5,4843.9,26859.800000000003,891,2716
2023,V,Petróleo,,,,,1672.7327129999996,803.3,1174.8,3650.832713,0,3139.1
2023,VII/VI,Petróleo,,,,,-,-,-,-,-,-
2023,VI,Petróleo,,,,,6864.4,0,0,6864.4,10647,0
2023,VII,Petróleo,,,,,11996.2,0,0,11996.2,0,550
2023,IX,Petróleo,,,,,1158.2,0,0,1158.2,1773.5,3165.4
2023,X,Petróleo,,,,,39994.1,0,0,39994.1,8657,9400
2023,XIII,Petróleo,,,,,5159.6,1160.6,677.4,6997.6,1456.6,37987
2023,XV,Petróleo,,,,,208.8,0,0,208.8,3231.3,0
2023,XX,Petróleo,,,,,216.7,272,0,488.7,341.4,0
2023,Z-69,Petróleo,,,,,7797.8,3249.6,3293.7,14341.099999999999,31360.8,40584.6
2023,Z-6,Petróleo,,,,,0,0,0,0,2020,59700
2023,Z-1,Petróleo,,,,,2318.8,67.9,58.7,2445.4,0,0
2023,8,Petróleo,,,,,0,0,0,0,22059,0
2023,67,Petróleo,,,,,0,0,0,0,162839.2,0
